date,reattends
2014-04-01,1094
2014-05-01,1266
2014-06-01,1170
2014-07-01,1239
2014-08-01,1197
2014-09-01,1196
2014-10-01,1091
2014-11-01,1077
2014-12-01,1060
2015-01-01,978
2015-02-01,964
2015-03-01,1185
2015-04-01,1145
2015-05-01,1168
2015-06-01,1147
2015-07-01,1323
2015-08-01,1181
2015-09-01,1247
2015-10-01,1173
2015-11-01,1182
2015-12-01,1156
2016-01-01,959
2016-02-01,1031
2016-03-01,1212
2016-04-01,939
2016-05-01,981
2016-06-01,1160
2016-07-01,1140
2016-08-01,1161
2016-09-01,1119
2016-10-01,1066
2016-11-01,920
2016-12-01,977
2017-01-01,893
2017-02-01,888
2017-03-01,1029
2017-04-01,913
2017-05-01,910
2017-06-01,881
2017-07-01,990
2017-08-01,862
2017-09-01,850
2017-10-01,824
