date,actuals
2017-01-22,161
2017-01-23,201
2017-01-24,189
2017-01-25,198
2017-01-26,226
2017-01-27,259
2017-01-28,200
2017-01-29,195
2017-01-30,189
2017-01-31,174
2017-02-01,238
2017-02-02,250
2017-02-03,226
2017-02-04,225
2017-02-05,199
2017-02-06,187
2017-02-07,193
2017-02-08,202
2017-02-09,229
2017-02-10,207
2017-02-11,187
2017-02-12,167
2017-02-13,173
2017-02-14,185
2017-02-15,236
2017-02-16,228
2017-02-17,226
2017-02-18,219
2017-02-19,194
2017-02-20,179
2017-02-21,193
2017-02-22,217
2017-02-23,258
2017-02-24,207
2017-02-25,208
2017-02-26,197
2017-02-27,197
2017-02-28,195
2017-03-01,240
2017-03-02,238
2017-03-03,211
2017-03-04,175
2017-03-05,213
2017-03-06,196
2017-03-07,183
2017-03-08,223
2017-03-09,226
2017-03-10,220
2017-03-11,198
2017-03-12,212
2017-03-13,207
2017-03-14,178
2017-03-15,247
2017-03-16,271
2017-03-17,233
2017-03-18,217
2017-03-19,208
2017-03-20,175
2017-03-21,217
2017-03-22,218
2017-03-23,243
2017-03-24,243
2017-03-25,204
2017-03-26,184
2017-03-27,207
2017-03-28,175
2017-03-29,245
2017-03-30,249
2017-03-31,232
2017-04-01,222
2017-04-02,185
2017-04-03,199
2017-04-04,217
2017-04-05,235
2017-04-06,227
2017-04-07,204
2017-04-08,185
2017-04-09,193
2017-04-10,196
2017-04-11,191
2017-04-12,234
2017-04-13,260
2017-04-14,204
2017-04-15,204
2017-04-16,207
2017-04-17,221
2017-04-18,243
2017-04-19,241
2017-04-20,254
2017-04-21,258
2017-04-22,216
2017-04-23,198
2017-04-24,211
2017-04-25,147
2017-04-26,279
2017-04-27,242
2017-04-28,239
2017-04-29,223
2017-04-30,215
2017-05-01,178
2017-05-02,193
2017-05-03,223
2017-05-04,277
2017-05-05,224
2017-05-06,245
2017-05-07,216
2017-05-08,218
2017-05-09,192
2017-05-10,228
2017-05-11,259
2017-05-12,233
2017-05-13,211
2017-05-14,225
2017-05-15,234
2017-05-16,169
2017-05-17,242
2017-05-18,226
2017-05-19,231
2017-05-20,206
