date,reattends
01/04/2014,1094
01/05/2014,1266
01/06/2014,1170
01/07/2014,1239
01/08/2014,1197
01/09/2014,1196
01/10/2014,1091
01/11/2014,1077
01/12/2014,1060
01/01/2015,978
01/02/2015,964
01/03/2015,1185
01/04/2015,1145
01/05/2015,1168
01/06/2015,1147
01/07/2015,1323
01/08/2015,1181
01/09/2015,1247
01/10/2015,1173
01/11/2015,1182
01/12/2015,1156
01/01/2016,959
01/02/2016,1031
01/03/2016,1212
01/04/2016,939
01/05/2016,981
01/06/2016,1160
01/07/2016,1140
01/08/2016,1161
01/09/2016,1119
01/10/2016,1066
01/11/2016,920
01/12/2016,977
01/01/2017,893
01/02/2017,888
01/03/2017,1029
01/04/2017,913
01/05/2017,910
01/06/2017,881
01/07/2017,990
01/08/2017,862
01/09/2017,850
01/10/2017,824
