date,out_apts
2014-04-01,40921
2014-05-01,42205
2014-06-01,58850
2014-07-01,45174
2014-08-01,41427
2014-09-01,59320
2014-10-01,45788
2014-11-01,48066
2014-12-01,46944
2015-01-01,45795
2015-02-01,44776
2015-03-01,51895
2015-04-01,42561
2015-05-01,40450
2015-06-01,55906
2015-07-01,43297
2015-08-01,51351
2015-09-01,44426
2015-10-01,43288
2015-11-01,56998
2015-12-01,34973
2016-01-01,45449
2016-02-01,48990
2016-03-01,35689
2016-04-01,41774
2016-05-01,51328
2016-06-01,43688
2016-07-01,43845
2016-08-01,50328
2016-09-01,46973
2016-10-01,57336
2016-11-01,47873
2016-12-01,39412
2017-01-01,57678
2017-02-01,46785
2017-03-01,46218
2017-04-01,43772
2017-05-01,56740
2017-06-01,50216
2017-07-01,57633
2017-08-01,42243
2017-09-01,46945
2017-10-01,58599
2017-11-01,47563
2017-12-01,40828
2018-01-01,56148
2018-02-01,45342
2018-03-01,43741
2018-04-01,45907
