date,resp_admits
2015-08-01,13
2015-08-02,14
2015-08-03,51
2015-08-04,35
2015-08-05,45
2015-08-06,31
2015-08-07,37
2015-08-08,15
2015-08-09,17
2015-08-10,47
2015-08-11,26
2015-08-12,50
2015-08-13,18
2015-08-14,44
2015-08-15,20
2015-08-16,28
2015-08-17,46
2015-08-18,14
2015-08-19,39
2015-08-20,19
2015-08-21,50
2015-08-22,36
2015-08-23,24
2015-08-24,38
2015-08-25,36
2015-08-26,35
2015-08-27,25
2015-08-28,35
2015-08-29,12
2015-08-30,25
2015-08-31,31
2015-09-01,27
2015-09-02,19
2015-09-03,26
2015-09-04,43
2015-09-05,15
2015-09-06,23
2015-09-07,41
2015-09-08,33
2015-09-09,43
2015-09-10,12
2015-09-11,42
2015-09-12,18
2015-09-13,18
2015-09-14,41
2015-09-15,40
2015-09-16,43
2015-09-17,43
2015-09-18,39
2015-09-19,30
2015-09-20,22
2015-09-21,40
2015-09-22,30
2015-09-23,43
2015-09-24,25
2015-09-25,37
2015-09-26,22
2015-09-27,14
2015-09-28,46
2015-09-29,41
2015-09-30,56
2015-10-01,30
2015-10-02,34
2015-10-03,28
2015-10-04,17
2015-10-05,54
2015-10-06,42
2015-10-07,60
2015-10-08,31
2015-10-09,53
2015-10-10,32
2015-10-11,30
2015-10-12,29
2015-10-13,24
2015-10-14,53
2015-10-15,25
2015-10-16,60
2015-10-17,25
2015-10-18,26
2015-10-19,47
2015-10-20,46
2015-10-21,39
2015-10-22,34
2015-10-23,39
2015-10-24,27
2015-10-25,32
2015-10-26,61
2015-10-27,26
2015-10-28,60
2015-10-29,29
2015-10-30,43
2015-10-31,19
2015-11-01,27
2015-11-02,56
2015-11-03,37
2015-11-04,33
2015-11-05,27
2015-11-06,53
2015-11-07,29
2015-11-08,20
2015-11-09,37
2015-11-10,20
2015-11-11,33
2015-11-12,23
2015-11-13,50
2015-11-14,26
2015-11-15,38
2015-11-16,47
2015-11-17,37
2015-11-18,54
2015-11-19,23
2015-11-20,44
2015-11-21,30
2015-11-22,17
2015-11-23,46
2015-11-24,30
2015-11-25,41
2015-11-26,30
2015-11-27,57
2015-11-28,24
2015-11-29,31
2015-11-30,45
2015-12-01,41
2015-12-02,53
2015-12-03,47
2015-12-04,56
2015-12-05,15
2015-12-06,40
2015-12-07,40
2015-12-08,51
2015-12-09,40
2015-12-10,28
2015-12-11,39
2015-12-12,22
2015-12-13,38
2015-12-14,62
2015-12-15,25
2015-12-16,47
2015-12-17,32
2015-12-18,43
2015-12-19,26
2015-12-20,29
2015-12-21,45
2015-12-22,55
2015-12-23,48
2015-12-24,25
2015-12-25,27
2015-12-26,33
2015-12-27,39
2015-12-28,47
2015-12-29,53
2015-12-30,73
2015-12-31,60
2016-01-01,59
2016-01-02,67
2016-01-03,45
2016-01-04,66
2016-01-05,48
2016-01-06,60
2016-01-07,60
2016-01-08,68
2016-01-09,35
2016-01-10,35
2016-01-11,49
2016-01-12,45
2016-01-13,55
2016-01-14,36
2016-01-15,38
2016-01-16,30
2016-01-17,25
2016-01-18,52
2016-01-19,41
2016-01-20,62
2016-01-21,60
2016-01-22,53
2016-01-23,39
2016-01-24,36
2016-01-25,46
2016-01-26,38
2016-01-27,64
2016-01-28,56
2016-01-29,64
2016-01-30,45
2016-01-31,43
2016-02-01,41
2016-02-02,31
2016-02-03,50
2016-02-04,34
2016-02-05,51
2016-02-06,26
2016-02-07,39
2016-02-08,53
2016-02-09,49
2016-02-10,46
2016-02-11,44
2016-02-12,51
2016-02-13,24
2016-02-14,32
2016-02-15,46
2016-02-16,40
2016-02-17,74
2016-02-18,52
2016-02-19,41
2016-02-20,43
2016-02-21,49
2016-02-22,59
2016-02-23,42
2016-02-24,42
2016-02-25,29
2016-02-26,80
2016-02-27,31
2016-02-28,28
2016-02-29,36
2016-03-01,43
2016-03-02,62
2016-03-03,41
2016-03-04,49
2016-03-05,41
2016-03-06,45
2016-03-07,36
2016-03-08,42
2016-03-09,37
2016-03-10,38
2016-03-11,35
2016-03-12,20
2016-03-13,30
2016-03-14,43
2016-03-15,36
2016-03-16,42
2016-03-17,38
2016-03-18,53
2016-03-19,29
2016-03-20,19
2016-03-21,64
2016-03-22,59
2016-03-23,60
2016-03-24,51
2016-03-25,53
2016-03-26,48
2016-03-27,41
2016-03-28,54
2016-03-29,56
2016-03-30,73
2016-03-31,33
2016-04-01,55
2016-04-02,29
2016-04-03,46
2016-04-04,41
2016-04-05,42
2016-04-06,45
2016-04-07,36
2016-04-08,61
2016-04-09,30
2016-04-10,36
2016-04-11,41
2016-04-12,32
2016-04-13,55
2016-04-14,26
2016-04-15,38
2016-04-16,26
2016-04-17,14
2016-04-18,30
2016-04-19,29
2016-04-20,54
2016-04-21,30
2016-04-22,42
2016-04-23,15
2016-04-24,26
2016-04-25,39
2016-04-26,32
2016-04-27,31
2016-04-28,23
2016-04-29,56
2016-04-30,20
2016-05-01,21
2016-05-02,33
2016-05-03,35
2016-05-04,54
2016-05-05,27
2016-05-06,31
2016-05-07,25
2016-05-08,25
2016-05-09,73
2016-05-10,41
2016-05-11,57
2016-05-12,46
2016-05-13,28
2016-05-14,18
2016-05-15,20
2016-05-16,37
2016-05-17,39
2016-05-18,65
2016-05-19,40
2016-05-20,44
2016-05-21,30
2016-05-22,42
2016-05-23,35
2016-05-24,33
2016-05-25,39
2016-05-26,31
2016-05-27,50
2016-05-28,29
2016-05-29,13
2016-05-30,31
2016-05-31,30
2016-06-01,42
2016-06-02,28
2016-06-03,50
2016-06-04,26
2016-06-05,18
2016-06-06,37
2016-06-07,39
2016-06-08,30
2016-06-09,17
2016-06-10,39
2016-06-11,17
2016-06-12,26
2016-06-13,40
2016-06-14,50
2016-06-15,44
2016-06-16,20
2016-06-17,50
2016-06-18,25
2016-06-19,20
2016-06-20,42
2016-06-21,29
2016-06-22,21
2016-06-23,33
2016-06-24,40
2016-06-25,30
2016-06-26,38
2016-06-27,36
2016-06-28,38
2016-06-29,43
2016-06-30,23
2016-07-01,45
2016-07-02,28
2016-07-03,24
2016-07-04,29
2016-07-05,32
2016-07-06,29
2016-07-07,37
2016-07-08,43
2016-07-09,36
2016-07-10,24
2016-07-11,37
2016-07-12,42
2016-07-13,46
2016-07-14,18
2016-07-15,34
2016-07-16,26
2016-07-17,11
2016-07-18,47
2016-07-19,27
2016-07-20,48
2016-07-21,32
2016-07-22,44
2016-07-23,15
2016-07-24,23
2016-07-25,28
2016-07-26,29
2016-07-27,35
2016-07-28,25
2016-07-29,41
2016-07-30,34
2016-07-31,20
2016-08-01,45
2016-08-02,44
2016-08-03,35
2016-08-04,32
2016-08-05,38
2016-08-06,17
2016-08-07,29
2016-08-08,56
2016-08-09,33
2016-08-10,33
2016-08-11,30
2016-08-12,56
2016-08-13,36
2016-08-14,27
2016-08-15,29
2016-08-16,42
2016-08-17,54
2016-08-18,29
2016-08-19,29
2016-08-20,18
2016-08-21,21
2016-08-22,37
2016-08-23,25
2016-08-24,32
2016-08-25,20
2016-08-26,28
2016-08-27,24
2016-08-28,30
2016-08-29,32
2016-08-30,37
2016-08-31,51
2016-09-01,28
2016-09-02,47
2016-09-03,24
2016-09-04,18
2016-09-05,38
2016-09-06,20
2016-09-07,58
2016-09-08,13
2016-09-09,38
2016-09-10,11
2016-09-11,10
2016-09-12,36
2016-09-13,43
2016-09-14,22
2016-09-15,23
2016-09-16,39
2016-09-17,34
2016-09-18,25
2016-09-19,29
2016-09-20,32
2016-09-21,40
2016-09-22,39
2016-09-23,34
2016-09-24,30
2016-09-25,31
2016-09-26,46
2016-09-27,20
2016-09-28,49
2016-09-29,34
2016-09-30,43
2016-10-01,27
2016-10-02,17
2016-10-03,44
2016-10-04,29
2016-10-05,56
2016-10-06,35
2016-10-07,32
2016-10-08,33
2016-10-09,18
2016-10-10,34
2016-10-11,40
2016-10-12,39
2016-10-13,36
2016-10-14,42
2016-10-15,32
2016-10-16,22
2016-10-17,39
2016-10-18,26
2016-10-19,59
2016-10-20,26
2016-10-21,56
2016-10-22,30
2016-10-23,33
2016-10-24,50
2016-10-25,40
2016-10-26,57
2016-10-27,29
2016-10-28,46
2016-10-29,30
2016-10-30,22
2016-10-31,49
2016-11-01,49
2016-11-02,34
2016-11-03,30
2016-11-04,46
2016-11-05,32
2016-11-06,33
2016-11-07,53
2016-11-08,28
2016-11-09,36
2016-11-10,50
2016-11-11,48
2016-11-12,28
2016-11-13,26
2016-11-14,53
2016-11-15,31
2016-11-16,49
2016-11-17,47
2016-11-18,48
2016-11-19,39
2016-11-20,33
2016-11-21,57
2016-11-22,46
2016-11-23,45
2016-11-24,55
2016-11-25,47
2016-11-26,30
2016-11-27,23
2016-11-28,39
2016-11-29,46
2016-11-30,42
2016-12-01,54
2016-12-02,49
2016-12-03,24
2016-12-04,47
2016-12-05,48
2016-12-06,39
2016-12-07,33
2016-12-08,39
2016-12-09,64
2016-12-10,34
2016-12-11,42
2016-12-12,41
2016-12-13,42
2016-12-14,53
2016-12-15,50
2016-12-16,49
2016-12-17,35
2016-12-18,59
2016-12-19,80
2016-12-20,43
2016-12-21,55
2016-12-22,41
2016-12-23,44
2016-12-24,54
2016-12-25,53
2016-12-26,61
2016-12-27,62
2016-12-28,70
2016-12-29,59
2016-12-30,47
2016-12-31,39
2017-01-01,50
2017-01-02,52
2017-01-03,64
2017-01-04,66
2017-01-05,81
2017-01-06,76
2017-01-07,34
2017-01-08,50
2017-01-09,52
2017-01-10,60
2017-01-11,62
2017-01-12,64
2017-01-13,64
2017-01-14,42
2017-01-15,23
2017-01-16,60
2017-01-17,44
2017-01-18,55
2017-01-19,40
2017-01-20,40
2017-01-21,25
2017-01-22,36
2017-01-23,35
2017-01-24,42
2017-01-25,38
2017-01-26,55
2017-01-27,43
2017-01-28,33
2017-01-29,42
2017-01-30,44
2017-01-31,39
2017-02-01,47
2017-02-02,46
2017-02-03,71
2017-02-04,40
2017-02-05,32
2017-02-06,52
2017-02-07,48
2017-02-08,57
2017-02-09,44
2017-02-10,51
2017-02-11,34
2017-02-12,41
2017-02-13,39
2017-02-14,46
2017-02-15,47
2017-02-16,43
2017-02-17,51
2017-02-18,23
2017-02-19,31
2017-02-20,60
2017-02-21,60
2017-02-22,65
2017-02-23,41
2017-02-24,35
2017-02-25,23
2017-02-26,38
2017-02-27,60
2017-02-28,26
2017-03-01,45
2017-03-02,34
2017-03-03,39
2017-03-04,41
2017-03-05,32
2017-03-06,41
2017-03-07,33
2017-03-08,54
2017-03-09,39
2017-03-10,33
2017-03-11,41
2017-03-12,29
2017-03-13,55
2017-03-14,24
2017-03-15,47
2017-03-16,32
2017-03-17,46
2017-03-18,19
2017-03-19,32
2017-03-20,58
2017-03-21,41
2017-03-22,57
2017-03-23,37
2017-03-24,84
2017-03-25,30
2017-03-26,26
2017-03-27,51
2017-03-28,30
2017-03-29,74
2017-03-30,40
2017-03-31,60
2017-04-01,33
2017-04-02,33
2017-04-03,39
2017-04-04,38
2017-04-05,46
2017-04-06,59
2017-04-07,47
2017-04-08,19
2017-04-09,35
2017-04-10,43
2017-04-11,24
2017-04-12,63
2017-04-13,35
2017-04-14,18
2017-04-15,31
2017-04-16,41
2017-04-17,21
2017-04-18,40
2017-04-19,62
2017-04-20,36
2017-04-21,44
2017-04-22,30
2017-04-23,26
2017-04-24,47
2017-04-25,34
2017-04-26,60
2017-04-27,35
2017-04-28,47
2017-04-29,15
2017-04-30,28
2017-05-01,36
2017-05-02,43
2017-05-03,66
2017-05-04,37
2017-05-05,29
2017-05-06,22
2017-05-07,26
2017-05-08,51
2017-05-09,36
2017-05-10,56
2017-05-11,39
2017-05-12,37
2017-05-13,19
2017-05-14,35
2017-05-15,49
2017-05-16,52
2017-05-17,60
2017-05-18,30
2017-05-19,39
2017-05-20,17
2017-05-21,13
2017-05-22,56
2017-05-23,22
2017-05-24,33
2017-05-25,37
2017-05-26,48
2017-05-27,27
2017-05-28,22
2017-05-29,25
2017-05-30,40
2017-05-31,36
2017-06-01,40
2017-06-02,49
2017-06-03,19
2017-06-04,17
2017-06-05,53
2017-06-06,34
2017-06-07,48
2017-06-08,27
2017-06-09,28
2017-06-10,24
2017-06-11,24
2017-06-12,40
2017-06-13,40
2017-06-14,60
2017-06-15,26
2017-06-16,43
2017-06-17,25
2017-06-18,38
2017-06-19,45
2017-06-20,32
2017-06-21,38
2017-06-22,26
2017-06-23,52
2017-06-24,22
2017-06-25,21
2017-06-26,31
2017-06-27,40
2017-06-28,46
2017-06-29,39
2017-06-30,49
2017-07-01,18
2017-07-02,35
2017-07-03,30
2017-07-04,26
2017-07-05,44
2017-07-06,40
2017-07-07,35
2017-07-08,16
2017-07-09,17
2017-07-10,33
2017-07-11,39
2017-07-12,60
2017-07-13,46
2017-07-14,44
2017-07-15,20
2017-07-16,26
2017-07-17,42
2017-07-18,21
2017-07-19,45
2017-07-20,28
2017-07-21,34
2017-07-22,20
2017-07-23,31
2017-07-24,46
2017-07-25,32
2017-07-26,32
2017-07-27,26
2017-07-28,27
2017-07-29,15
2017-07-30,27
2017-07-31,38
2017-08-01,23
2017-08-02,52
2017-08-03,26
2017-08-04,41
2017-08-05,25
2017-08-06,24
2017-08-07,38
2017-08-08,32
2017-08-09,49
2017-08-10,43
2017-08-11,64
2017-08-12,13
2017-08-13,13
2017-08-14,20
2017-08-15,34
2017-08-16,56
2017-08-17,20
2017-08-18,22
2017-08-19,22
2017-08-20,42
2017-08-21,26
2017-08-22,25
2017-08-23,36
2017-08-24,28
2017-08-25,35
2017-08-26,28
2017-08-27,18
2017-08-28,22
2017-08-29,28
2017-08-30,22
2017-08-31,42
2017-09-01,22
2017-09-02,26
2017-09-03,18
2017-09-04,44
2017-09-05,47
2017-09-06,51
2017-09-07,14
2017-09-08,42
2017-09-09,37
2017-09-10,18
2017-09-11,45
2017-09-12,42
2017-09-13,51
2017-09-14,32
2017-09-15,37
2017-09-16,20
2017-09-17,15
2017-09-18,63
2017-09-19,37
2017-09-20,45
2017-09-21,18
2017-09-22,46
2017-09-23,17
2017-09-24,28
2017-09-25,27
2017-09-26,29
2017-09-27,52
2017-09-28,17
2017-09-29,37
2017-09-30,35
2017-10-01,40
2017-10-02,57
2017-10-03,43
2017-10-04,53
2017-10-05,32
2017-10-06,41
2017-10-07,44
2017-10-08,35
2017-10-09,23
2017-10-10,44
2017-10-11,38
2017-10-12,30
2017-10-13,40
2017-10-14,22
2017-10-15,26
2017-10-16,38
2017-10-17,32
2017-10-18,44
2017-10-19,19
2017-10-20,43
2017-10-21,29
2017-10-22,21
2017-10-23,38
2017-10-24,23
2017-10-25,23
2017-10-26,40
2017-10-27,67
2017-10-28,28
2017-10-29,33
2017-10-30,37
2017-10-31,40
2017-11-01,55
2017-11-02,49
2017-11-03,45
2017-11-04,31
2017-11-05,25
2017-11-06,35
2017-11-07,31
2017-11-08,47
2017-11-09,33
2017-11-10,45
2017-11-11,20
2017-11-12,35
2017-11-13,50
2017-11-14,43
2017-11-15,64
2017-11-16,31
2017-11-17,62
2017-11-18,17
2017-11-19,15
2017-11-20,66
2017-11-21,31
2017-11-22,61
2017-11-23,33
2017-11-24,44
2017-11-25,33
2017-11-26,43
2017-11-27,59
2017-11-28,46
2017-11-29,61
2017-11-30,40
2017-12-01,53
2017-12-02,41
2017-12-03,47
2017-12-04,43
2017-12-05,43
2017-12-06,51
2017-12-07,63
2017-12-08,32
2017-12-09,46
2017-12-10,12
2017-12-11,62
2017-12-12,55
